"2015-06-18T13:27:15.131629-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 11 (0s wait, 0s elapsed, 0s total)"
"2015-06-18T12:59:30.248483-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 79 (0s wait, 0s elapsed, 0s total)"
"2015-06-18T12:22:51.182538-05:00 radius6.big.campus.edu radius.auth2[16448]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 208 (0s wait, 0s elapsed, 0s total)"
"2015-06-18T12:19:12.678685-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 123 (0s wait, 0s elapsed, 0s total)"
"2015-06-18T11:31:39.130039-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth FAIL for ??? (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 248 (0s wait, 0s elapsed, 0s total) because: EAP PEAP TLS error"
"2015-06-18T11:12:58.066728-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 93 (0s wait, 0s elapsed, 0s total)"
"2015-06-18T10:35:53.130101-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 16 (0s wait, 0s elapsed, 0s total)"
"2015-06-18T09:57:37.062923-05:00 radius6.big.campus.edu radius.auth2[16448]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 17 (0s wait, 0s elapsed, 0s total)"
"2015-06-18T09:47:35.962228-05:00 radius6.big.campus.edu radius.auth2[16448]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 23 (0s wait, 0s elapsed, 0s total)"
"2015-06-18T09:10:28.846198-05:00 radius6.big.campus.edu radius.auth2[16448]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 90 (0s wait, 0s elapsed, 0s total)"
"2015-06-18T08:58:24.343465-05:00 radius6.big.campus.edu radius.auth2[16448]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 96 (0s wait, 0s elapsed, 0s total)"
"2015-06-18T08:27:10.932772-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 177 (0s wait, 0s elapsed, 0s total)"
"2015-06-18T08:11:38.564122-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 94 (0s wait, 0s elapsed, 0s total)"
"2015-06-17T17:02:23.924267-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 65 (0s wait, 0s elapsed, 0s total)"
"2015-06-17T15:57:56.552920-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 192 (0s wait, 0s elapsed, 0s total)"
"2015-06-17T15:18:15.785049-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 151 (0s wait, 0s elapsed, 0s total)"
"2015-06-17T14:36:43.151082-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 55 (0s wait, 0s elapsed, 0s total)"
"2015-06-17T12:04:00.615696-05:00 radius5.big.campus.edu radius.auth2[16290]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 6C-40-08-92-D5-D0 via 172.21.128.74:00-90-0B-28-85-E3:CampusNet id 246 (0s wait, 0s elapsed, 0s total)"
"2015-06-17T11:50:32.879728-05:00 radius5.big.campus.edu radius.auth2[16290]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 6C-40-08-92-D5-D0 via 172.21.128.74:00-90-0B-28-85-E3:CampusNet id 221 (0s wait, 0s elapsed, 0s total)"
"2015-06-17T11:32:15.964641-05:00 radius5.big.campus.edu radius.auth2[16290]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 6C-40-08-92-D5-D0 via 172.21.128.74:00-90-0B-28-85-E3:CampusNet id 188 (0s wait, 0s elapsed, 0s total)"
"2015-06-16T16:47:02.698782-05:00 radius4.big.campus.edu radius.auth1[2185]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 2 (0s wait, 0s elapsed, 0s total)"
